Bus Stop Code,Path
22009,ltaodataservice/BusArrivalv2?BusStopCode=22009
22501,ltaodataservice/BusArrivalv2?BusStopCode=22501
22511,ltaodataservice/BusArrivalv2?BusStopCode=22511
22521,ltaodataservice/BusArrivalv2?BusStopCode=22521
22451,ltaodataservice/BusArrivalv2?BusStopCode=22451
27301,ltaodataservice/BusArrivalv2?BusStopCode=27301
27321,ltaodataservice/BusArrivalv2?BusStopCode=27321
27281,ltaodataservice/BusArrivalv2?BusStopCode=27281
27291,ltaodataservice/BusArrivalv2?BusStopCode=27291
27311,ltaodataservice/BusArrivalv2?BusStopCode=27311
27061,ltaodataservice/BusArrivalv2?BusStopCode=27061
27211,ltaodataservice/BusArrivalv2?BusStopCode=27211
27221,ltaodataservice/BusArrivalv2?BusStopCode=27221
27231,ltaodataservice/BusArrivalv2?BusStopCode=27231
27241,ltaodataservice/BusArrivalv2?BusStopCode=27241
27251,ltaodataservice/BusArrivalv2?BusStopCode=27251
27261,ltaodataservice/BusArrivalv2?BusStopCode=27261
27329,ltaodataservice/BusArrivalv2?BusStopCode=27329
27309,ltaodataservice/BusArrivalv2?BusStopCode=27309
22459,ltaodataservice/BusArrivalv2?BusStopCode=22459
22529,ltaodataservice/BusArrivalv2?BusStopCode=22529
22519,ltaodataservice/BusArrivalv2?BusStopCode=22519
22509,ltaodataservice/BusArrivalv2?BusStopCode=22509
22009,ltaodataservice/BusArrivalv2?BusStopCode=22009
